proprety_type,surface,bedroom,bathroom,address,city,principale,price_dh
Apartment,120.0,3,1,"Bouznika, Ben Slimane",Benslimane,Casablanca-Settat,1381080.0
Apartment,107.0,4,1,"Bouznika, Ben Slimane",Benslimane,Casablanca-Settat,863490.0
House,125.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,3262750.0
Apartment,53.0,2,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,2446957.0
Apartment,170.0,3,3,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,7483910.0
Apartment,135.0,2,2,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,3652830.0
Apartment,146.0,1,1,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,3693070.0
House,167.0,6,6,"Route de Tahanaout, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4490630.0
House,163.0,4,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,5562375.0
House,364.0,1,1,"Zagora, Zagora",Zagora,Drâa-Tafilalet,2974244.0
House,205.0,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,6875495.0
House,597.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,22312875.0
Apartment,109.0,1,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,3362650.0
House,569.0,1,1,"Mohammadia, Mohammedia",Mohammedia,Casablanca-Settat,6652748.0
Apartment,170.0,5,5,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,6846240.0
House,363.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,12470139.0
House,523.0,1,4,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,15841147.0
House,350.0,4,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,8902600.0
House,444.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,14380272.0
House,277.0,5,2,"Témara, Skhirat-Témara",Skhirat,Rabat-Salé-Kénitra,2420980.0
House,577.0,7,7,"Cabo Negro, Tétouan",Tétouan,Tanger-Tétouan-Al Hoceïma,5379371.0
House,512.0,1,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,13563392.0
House,305.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,7643605.0
House,375.0,4,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,16316250.0
House,296.0,1,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,11140848.0
House,261.0,1,1,"Benslimane, Ben Slimane",Benslimane,Casablanca-Settat,2849859.0
House,284.0,1,1,"Mohammadia, Mohammedia",Mohammedia,Casablanca-Settat,2691752.0
House,293.0,4,4,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,9119918.0
House,439.0,4,4,"Tétouan, Tétouan",Tétouan,Tanger-Tétouan-Al Hoceïma,4209132.0
House,454.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,11867560.0
Apartment,50.0,1,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,1371950.0
House,135.0,1,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,5500305.0
House,403.0,3,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,18107193.0
House,360.0,5,5,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,12073680.0
House,105.0,1,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,4730145.0
Apartment,58.0,3,3,"Bouznika, Ben Slimane",Benslimane,Casablanca-Settat,668740.0
House,245.0,3,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,6125245.0
House,240.0,6,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,8585280.0
Apartment,156.0,3,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,6794268.0
House,485.0,7,7,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,12285535.0
House,430.0,4,4,"Route de Tahanaout, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,14558510.0
House,570.0,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,21984330.0
House,505.0,4,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,14047080.0
House,210.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,5765130.0
House,365.0,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,14207260.0
House,547.0,6,6,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,21555629.0
House,148.0,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,3789540.0
House,268.0,4,4,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,10430292.0
House,234.0,6,6,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,6357078.0
House,316.0,4,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,10417888.0
House,456.0,4,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,16075824.0
Apartment,161.0,2,2,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,5083253.0
House,463.0,3,3,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,16411035.0
House,282.0,3,3,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,7276446.0
Apartment,113.0,2,2,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,4436945.0
House,103.0,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3032217.0
House,391.0,4,4,"Ménara, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,10162090.0
House,157.0,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,6050152.0
House,445.0,8,7,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,11344830.0
House,183.0,5,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,6491010.0
House,476.0,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,13593608.0
House,331.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,10984566.0
Apartment,185.0,3,2,"36 Av. Lissan-Edine Ibn Al-Khatib, Fez, Fez",Fez,Fez,1589150.0
House,249.0,6,6,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,9651489.0
House,172.0,7,8,"Les rocher 45 Les rocher 45, Bouznika, Casablanca",Bouznika,Casablanca,1742360.0
House,87.0,8,8,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,3269982.0
House,187.0,7,10,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6813719.0
